Time stamp [ms],ACDC [V],AC [V],Error [ppm],Frequency [Hz]
1486508202.037,0.0099900946734922964,5.8031415949225632e-06,14.510647528068333,49.970565676900286
1486508225.147,0.0099877754510396682,5.2807820904150804e-06,14.514521015057557,50.05637656117687
1486508248.264,0.0099890656468204896,5.7515386122666458e-06,14.511690622823608,49.99635542190392
1486508271.382,0.0099897145084438307,5.6706054489236435e-06,14.510663171311201,49.97455665291452
1486508294.484,0.0099888489381881902,5.6007805539225111e-06,14.512452341390391,50.01029133814907
1486508317.601,0.0099902439831604569,5.8693751165768379e-06,14.513475430372594,50.03057681623334
1486508340.68,0.0099895484590755146,5.6681473129386079e-06,14.512459016796818,50.011994927910486
1486508363.797,0.0099900049650868752,5.7244169445616271e-06,14.511432689823696,49.99065405616913
1486508386.915,0.0099891439568744224,5.931210088066854e-06,14.512976445805537,50.02366835775317
1486508410.024,0.0099895095661286393,5.795454982707598e-06,14.509630170278854,49.95111499379889
